timestamp,produced_energy,consumed_energy,battery_charged_energy,battery_discharged_energy,grid_feedin_energy,grid_purchase_energy
2022-07-31T00:00:00+02:00,36040,6685,5927,2168,25954,358
2022-08-01T00:00:00+02:00,32475,6525,4809,2910,24444,394
2022-08-02T00:00:00+02:00,47837,7743,2270,2197,40372,352
2022-08-03T00:00:00+02:00,47884,8857,4786,3072,37720,408
2022-08-04T00:00:00+02:00,47338,7093,2856,3215,40996,391
2022-08-05T00:00:00+02:00,36139,5074,4230,1548,28784,400
2022-08-06T00:00:00+02:00,51127,9960,2333,3726,42952,393
2022-08-07T00:00:00+02:00,51007,9573,4669,3273,40420,382
2022-08-08T00:00:00+02:00,49249,6927,4769,2005,39932,375
2022-08-09T00:00:00+02:00,49427,13291,2731,2585,36373,382
2022-08-10T00:00:00+02:00,49197,8809,3508,3794,41107,433
2022-08-11T00:00:00+02:00,49569,7976,4872,3486,40597,389
2022-08-12T00:00:00+02:00,48205,8001,4802,1993,37769,374
2022-08-13T00:00:00+02:00,49085,19723,3043,6805,33567,443
2022-08-14T00:00:00+02:00,46307,30312,10073,4586,11011,504
2022-08-15T00:00:00+02:00,31785,9107,4265,2242,21116,459
2022-08-16T00:00:00+02:00,36077,8739,2824,3610,28583,459
2022-08-17T00:00:00+02:00,20940,8234,5394,3646,11423,466
2022-08-18T00:00:00+02:00,22555,7586,3877,1844,13368,431
2022-08-19T00:00:00+02:00,31755,8602,2936,1779,22434,438
2022-08-20T00:00:00+02:00,23534,6323,2136,2297,17788,416
2022-08-21T00:00:00+02:00,47385,7277,3118,2026,39410,393
2022-08-22T00:00:00+02:00,46231,9149,3271,3642,37898,445
2022-08-23T00:00:00+02:00,45849,7527,4525,3854,38055,404
2022-08-24T00:00:00+02:00,44092,4081,5077,2231,37594,430
2022-08-25T00:00:00+02:00,43175,9894,3254,2207,32624,391
2022-08-26T00:00:00+02:00,32611,10431,3472,3464,22631,459
2022-08-27T00:00:00+02:00,16908,9833,4839,4722,7457,500
2022-08-28T00:00:00+02:00,26868,6562,5380,3110,18472,436
2022-08-29T00:00:00+02:00,42402,4659,3756,1231,35587,369
2022-08-30T00:00:00+02:00,40696,9641,2472,3775,32844,486
2022-08-31T00:00:00+02:00,17242,8607,6334,4394,7246,551
2022-09-01T00:00:00+02:00,35269,7074,4219,1978,26361,407
2022-09-02T00:00:00+02:00,46900,7201,2310,1414,39214,411
2022-09-03T00:00:00+02:00,21964,9857,3729,4672,13573,522
2022-09-04T00:00:00+02:00,36682,9377,4659,3540,26682,496
2022-09-05T00:00:00+02:00,37283,7760,4559,2033,27380,383
2022-09-06T00:00:00+02:00,40489,12544,3210,3259,28439,445
2022-09-07T00:00:00+02:00,41260,9362,5552,4342,31199,511
2022-09-08T00:00:00+02:00,25008,7809,5847,3448,15270,470
2022-09-09T00:00:00+02:00,28894,9478,2960,3777,20701,466
2022-09-10T00:00:00+02:00,12902,8651,3770,3716,4746,548
2022-09-11T00:00:00+02:00,25358,8368,6004,2030,13493,476
2022-09-12T00:00:00+02:00,41432,7947,4968,3406,32362,439
2022-09-13T00:00:00+02:00,21633,7863,4742,3306,12810,476
2022-09-14T00:00:00+02:00,13447,6008,4356,3604,7289,601
2022-09-15T00:00:00+02:00,15217,8001,6764,5445,6387,491
2022-09-16T00:00:00+02:00,23446,5123,5725,2894,16358,866
2022-09-17T00:00:00+02:00,21848,8204,3809,3593,13949,521
2022-09-18T00:00:00+02:00,8839,10124,1005,5465,3875,701
2022-09-19T00:00:00+02:00,16036,9823,10569,4481,2034,1910
2022-09-20T00:00:00+02:00,26146,9045,6098,3766,15269,502
2022-09-21T00:00:00+02:00,41519,11472,5248,5584,30888,506
2022-09-22T00:00:00+02:00,43053,7988,5692,5380,35287,533
